"Page","Impressions","Clicks","CTR","Avg. Position"
"https://docta.me/doctors/maras-perica","4","0","0%","4"
"https://docta.me/clinics/dental-studio-gacina","4","2","50%","1.25"
"https://docta.me/clinics/15?lang=en","4","0","0%","3.75"
"https://docta.me/doctors/353?lang=en","3","2","66.67%","2.3333"
"https://docta.me/clinics/doktorica-mica-pedijatrijski-centar?lang=en","3","0","0%","4.333333333333333"
"https://docta.me/doctors/aleksandar-simic","3","1","33.33%","3"
"https://docta.me/doctors/emilija-delevic","3","3","100%","1.6666666666666667"
"https://docta.me/medicines/cardiopirin-75mg","3","0","0%","6.3333"
"https://docta.me/doctors/marko-buta","3","1","33.33%","5.6667"
"https://docta.me/doctors/aligrudic-velisa","3","0","0%","9.3333"
"https://docta.me/doctors/zdravkovic-rajko?lang=en","3","0","0%","3"
"https://docta.me/doctors/latkovic-danijela","3","0","0%","4"
"https://docta.me/doctors/sosnovska-tatjana","3","0","0%","10"
"https://docta.me/clinics/opsta-bolnica-bijelo-polje","3","0","0%","4.333333333333333"
"https://docta.me/doctors/jadran-bandic","3","0","0%","8.333333333333334"
"https://docta.me/doctors/enzo-jose-rivera-citarella?lang=en","3","1","33.33%","9.333333333333334"
"https://docta.me/doctors/velibor-majic","3","1","33.33%","1"
"https://docta.me/doctors/milena-pupovic","3","0","0%","1.6666999999999998"
"https://docta.me/doctors/antoaneta-adzic-zecevic","3","2","66.67%","1"
"https://docta.me/doctors/radojicic-jelena?lang=en","3","1","33.33%","1.3333"
"https://docta.me/medicines/ezrusta-20mg-10mg","3","0","0%","8.333333333333334"
"https://docta.me/doctors/dragoslav-tomanovic","3","0","0%","5.333333333333333"
"https://docta.me/doctors/filip-pilipovic","3","0","0%","7"
"https://docta.me/doctors/","3","1","33.33%","4"
"https://docta.me/doctors/marjana-djordjevic","3","2","66.67%","3.3333333333333335"
"https://docta.me/clinics/dom-zdravlja-herceg-novi","3","0","0%","7"
"https://docta.me/doctors/damir-muhovic?lang=en","3","0","0%","3.6666666666666665"
"https://docta.me/doctors/igor-jeremic","3","0","0%","6.333333333333333"
"https://docta.me/services/soft-tissue-ultrasound?cityIds=1","3","0","0%","1"
"https://docta.me/clinics/2?lang=en","3","0","0%","4.666666666666667"
"https://docta.me/clinics/bonomedica-budva","3","0","0%","4.666666666666667"
"https://docta.me/clinics/oftalmoloski-centar-dr-raonic-podgorica","3","0","0%","6.666666666666667"
"https://docta.me/services/laparoscopic-liver-biopsy","3","2","66.67%","3.3333333333333335"
"https://docta.me/doctors/grupkovic-saska","3","1","33.33%","2"
"https://docta.me/services/esophagogastroduodenoscopy-with-dilatation","3","2","66.67%","4.6667"
"https://docta.me/services/thyroidectomy","3","3","100%","1.3333333333333333"
"https://docta.me/doctors/sanja-borozan","3","1","33.33%","2"
"https://docta.me/doctors/svetlana-kocic","3","1","33.33%","1"
"https://docta.me/doctors/601?lang=en","3","1","33.33%","10"
"https://docta.me/clinics/moj-lab-pedijatria-podgorica","3","0","0%","7"
"https://docta.me/medicines/medazol-400mg-tablete","3","0","0%","4"
"https://docta.me/clinics/orl-klinika-dr-barjaktarovic-herceg-novi","3","1","33.33%","2"
"https://docta.me/doctors/bjekovic-tatjana?lang=en","3","1","33.33%","6"
