I02001	Prvi kurativni pregled	7179
I02004	Timska obrada pacijenta sa smetnjama u razvoju	7180
I02005	Savjet pedagoga škole ili vrtića	7181
I03001	Logopedska procjena artikulacionih sposobnosti djeteta	7182
I03002	Logopedska procjena stepena i težine mucanja	7183
I03003	Logopedska procjena govorne razvijenosti	7184
I03004	Logopedska procjena specifičnih poremećaja učenja	7185
I03005	Logopedska, somatopedska i oligofrenološka procjena psihomotorne sposobnosti	7186
I03006	Defektološko ispitivanje malog djeteta	7187
I03007	Defektološko ispitivanje školskog djeteta	7188
I03008	Logopedski tretman poremećaja u artikulaciji i motorici	7189
I03009	Logopedski tretman mucanja i motorike	7190
I03010	Logopedski tretman djeteta sa nerazvijenim govorom	7191
I03011	Defektološki/logopedski individualni tretman djeteta sa povišenom impulsivnošću	7192
I03012	Defektološki ili logopedski individualni tretman djeteta sa psihomotornom nestabilnošću	7193
I03013	Grupni rad defektologa sa roditeljima i djecom	7194
I03014	Defektološki individualni tretman malog djeteta	7195
I03015	Defektološki grupni tretman malog djeteta	7196
I03016	Defektološki individualni tretman školskog djeteta	7197
I03017	Defektološki grupni tretman školskog djeteta	7198
I03018	Savjeti roditeljima	7199
I03019	Nalaz i mišljenje defektologa	7200
I03020	Savjet pedagoga škole ili vrtića	7201
I03021	Timska obrada pacijenta	7202
I03022	Defektološko-logopedski tretman djetata sa smetnjama u učenju	7203
H01001	Prvi pregled (specijalistički)	5193
H01002	Ponovni pregled (kontrolni specijalistički)	5194
H01003	Kratka posjeta doktoru bez ponovnog pregleda	7107
H01004	Površna individualna terapija (savjeti pacijentu)	5195
H01005	Dubinska individualna terapija (savjetodavna terapija)	5196
H01006	Grupna psihoterapija psihodinamskih i sociodinamskih kinflikata (grupa sa najmanje 6 osoba)	5197
H01007	Grupna psihoterapija kod lica sa bolestima zavisnosti (grupa sa najmanje 6 osoba)	5198
H01008	Porodična psihoterapija (terapija bračnih i drugih parova)	5199
H01009	Analitički usmjerena terapija	5200
H01010	Psihoterpija ponašanja	5201
H01011	Tehnika relaksacije	5202
H01012	Kraći psihodijagnostički intervju	7114
H01013	Procjena psihomotornog razvoja djeteta	7115
H01014	Kratki klinički test procjene intelektualnog statusa djece do 15 godina	7116
H01015	Kratki klinički test procjene intelektualnog statusa za odrasle	5203
H01016	Procjena strukture ličnosti (eksploracija) djece do 15 godina	7118
H01017	Procjena strukture ličnosti (eksploracija) za odrasle	5204
H01018	Kliničko ispitivanje pojedinačnih funkcija djece do 15 godina	7120
H01019	Kliničko ispitivanje pojedinačnih funkcija za odrasle	5205
H01020	Obrada rezultata, integracija rezultata, pisanje nalaza	7122
H01021	Heteroanamneza	5206
H01022	Savjet roditeljima i članovima porodice	7124
H01023	Konsultacija stručnog tima o pacijentu	7125
H02001	Anamneza, dijagnostički intervju	5212
H02002	Prikupljanje podataka sa psihološkim testovima i metodama kategorije A(testovi:P, TRL, BTI, DAT, TMO, SPP3)	5213
H02003	Prikupljanje podataka sa psihološkim testovima i metodama kategorije B (testovi: D-48, LB, PM, AV, DAT, EOV)	5214
H02004	Prikupljanje podataka sa psihološkim testovima i metodama kategorije C (testovi: WB, WISC, OL, FPI, APQ, PIE)	5215
H02005	Prikupljanje podataka sa psihološkim testovima i metodama kategorije D (Rošahov dijagnostički test, PPM, usmjereni dijagnostički intrevju, neuropsihološka anliza)	5216
H02006	Procjena organicnosti	7131
H02007	Prvi intervju-Dijagnostički intervju djeteta sa posebnim potrebama	7132
H02008	Procjena intelektualnih sposobnosti djeteta sa posebnim potrebama do 14 g.-Gudinaf-ov test	7133
H02009	Procjena intelektualnih sposobnosti djeteta sa posebnim potrebama do 14 g.-Bine-Simonova skala	7134
H02010	Procjena intelektualnih sposobnosti djeteta sa posebnim potrebama do 14 godina-Revisk	7135
H02011	Procjena intelektualnih sposobnosti djeteta sa posebnim potrebama do 14 g.-Progresivne matrice	7136
H02012	Procjena intelektualnih sposobnosti djeteta sa posebnim potrebama preko14 godina-W-B skala	7137
H02013	Procjena intelektualnih sposobnosti djeteta sa posebnim potrebama preko14 godina-W-B skala (alt)	7138
