1688	Dodler prečka
1689	Indirektno podlaganje proteze
1690	Direktno podlaganje proteze
1691	Reparatura proteze
1692	Ugradnja zuba u protezu
1693	Ugradnja kukice u protezu
1694	Privremeni most 4 člana
1695	Privremena navlaka
1696	Skidanje krunice
1697	Recementiranje krunice ili mosta
1698	Livana nadogradnja
1699	FRC kočić i nadogradnja
1700	Metalokeramička krunica CoCr
1701	Metalokeramička krunica zlato
1702	Bezmetalna krunica press keramika
1703	Cirkonijum krunica sa keramikom
1704	Cirkonijum krunica multilayer
1705	Maryland most
1706	Teleskop krunica
1707	Metalokeramička krunica bleach boja
1708	Bezmetalna krunica bleach boja
1709	Krunica na implantu metalokeramika
1710	Krunica na implantu šrafovana CoCr
1711	Krunica na implantu šrafovana zlato
1712	Multi unit abutment sa Ti bazom
1713	Hibridni abutment cirkonijum
1714	Digitalni dizajn osmijeha
1715	Vađenje zuba jednostavno
1716	Vađenje zuba otežano
1717	Komplikovano vađenje zuba
1718	Hirurško vađenje zuba
1719	Vađenje impaktiranog zuba
1720	Vađenje impaktiranog zuba otežano
1721	Resekcija korijena zuba
1722	Cistektomija
1723	Cistektomija proširena
1724	Hirurško zatvaranje sinusa
1725	Zatvaranje sinusa sa uklanjanjem stranog tijela
1726	Caldwell Luc operacija
1727	Zatvaranje sinusa sa mukoznim graftom
1728	Slobodni mukozni autotransplantat
1729	Podizanje poda sinusa sa augmentacijom
1730	Frenektomija
1731	Frenulektomija
1732	Nivelacija alveolarnog grebena
1733	Produbljivanje forniksa
1734	Incizija apscesa intraoralno
1735	Incizija apscesa ekstraoralno
1736	Zaustavljanje krvarenja
1737	Liječenje alveolita
1738	Ugradnja implantata Bredent
1739	Ugradnja implantata Zimmer
1740	Ugradnja implantata Nobel Biocare
1741	Ugradnja implantata Straumann
1742	Priprema postekstrakcione rane za implantaciju
1743	Augmentacija alveolarnog grebena Biooss
1744	Režanj operacija
1745	Kauzalna parodontološka terapija
1746	Gingivektomija
1747	Parodontološki splint
1748	Denodacija impaktiranog zuba
1749	All on 4 proteza na implantatima Bredent
1750	All on 4 proteza na implantatima Nobel
1751	All on 4 proteza na implantatima Zimmer
1752	All on 4 proteza na implantatima Straumann
1753	Proteza na mini implantatima
1754	Upotreba APRF
1755	Geistlich Biooss 0.5g
1756	Geistlich membrana mala
1757	Geistlich membrana velika
1758	All on 6 proteza na implantatima Bredent
1759	All on 6 proteza na implantatima Nobel
1760	All on 4 metalokeramička proteza titan
1761	All on 4 metalokeramička proteza CoCr
1762	All on 6 metalokeramička proteza
1763	All on 4 cirkonijum proteza
1764	All on 6 cirkonijum proteza
1765	Proteza na lokatorima Bredent
1766	Proteza na lokatorima Nobel
1767	Prečka na implantatima
1768	Surgical guide po implantatu
1769	Dodatni otvor na surgical guide
1770	Planiranje implantacije na 3D snimku
1771	Ortodontska kontrola mjesečna
1772	Ortodontska ploča sa šrafom
1773	Monoblok aparat
1774	Vestibularna ploča
1775	Bradna kapa
1776	Fiksni ortodontski aparat po vilici
1777	Estetske bravice po vilici
1778	Skidanje fiksnog aparata po vilici
1779	Kompleksna fiksna ortodontska terapija
1780	Segmentni fiksni ortodontski aparat
1781	Kontrola fiksnog ortodontskog aparata
1782	Zamjena bravice
1783	Zamjena prstena
1784	Zamjena luka
1785	Analiza za Invisalign
1786	Atečment za Invisalign
1787	Invisalign folija
1928	Pedijatrijski pregled
1929	Kontrolni pedijatrijski pregled
1930	Subspecijalistički pregled pedijatra
1931	Subspecijalistički kontrolni pregled pedijatra
1932	Pregled pedijatra gastroenterologa
1933	Pregled pedijatra hematologa
1934	Pregled pedijatra neurologa
1935	Pregled pedijatra kardiologa sa ultrazvukom srca i EKG-om
1936	Pregled pedijatra pulmologa
1937	Profesorski pregled
1938	Kontrolni profesorski pregled
1939	Pregled pulmologa
1940	Pregled pulmologa sa testom difuzije
1941	Pregled pulmologa sa bodipletizmografijom, spirometrijom i testom difuzije
1942	Pregled interniste sa EKG-om
1943	Pregled kardiologa sa EKG i ehokardiografijom (ultrazvuk srca)
1944	Pregled kardiologa sa EKG-om
1945	Ergometrija - test fizičkog opterećenja
1946	Profesorski pregled kardiologa
1947	Kontrolni profesorski pregled kardiologa
1948	Profesorski ultrazvučni pregled srca
1949	Profesorski pregled kardiologa sa ultrazvukom srca
1950	Profesorska ergometrija - test opterećenja srca
1951	Stres EHO srca - test fizičkog i/ili farmakološkog opterećenja
1952	Stres EHO srca - profesorski pregled
1953	Profesorski kardiološki paket
1954	Stručni konsultantski pregled
1955	Pregled ORL specijaliste
1956	Kontrolni pregled ORL specijaliste
1957	Pregled alergologa
1958	Pregled dermatologa
1959	Pregled endokrinologa
1960	Pregled endokrinologa sa ultrazvukom štitne žlijezde
1961	Profesorski pregled endokrinologa
1962	Pregled hematologa
1963	Pregled specijaliste porodične medicine
1964	Pregled ortopeda
1965	Pregled reumatologa
1967	Pregled interniste onkologa
1968	Kućna posjeta ljekara i medicinskog tehničara
1969	Sistematski pregled paket 1
1970	Sistematski pregled paket 2
1973	Infuziona terapija
1974	Aplikacija lijeka intramuskularno
1975	Intramuskularna terapija 1
1976	Intramuskularna terapija 2
1977	Obrada rane
1978	Pregled i ispiranje uha
1979	Aplikacija intravenske kanile (braunile)
1980	Aplikacija lijeka intravenski
1981	Apliciranje lijeka intraartikularno
1982	Usluga davanja intravenske terapije
1983	Imobilizacija
1984	Opservacija pacijenta po satu
1985	Inhalaciona terapija
1986	Aspiracija
1987	Difuzija - procjena kapaciteta pluća za unos kiseonika
1988	Difuzija i spirometrija
1989	Bronhodilatatorni test - spirometrija sa lijekom
1990	Bodipletizmografija - mjerenje zapremine pluća
1991	Ultrazvučni pregled srca (ultrazvuk srca)
1992	Holter EKG-a - 24h snimanje srčane aktivnosti
1993	Holter krvnog pritiska - 24h praćenje vrijednosti
1994	Prick test na nutritivne alergene
1995	Prick test na inhalacione alergene
1996	Lactofan testovi intolerancije
1997	Ultrazvuk kukova
1998	Ultrazvuk mekih tkiva
1999	Ultrazvuk urotrakta
2000	Ultrazvuk dojki
2001	Ultrazvuk abdomena i bubrega
2002	Dopler vrata
2003	Dopler gornjih ekstremiteta
2004	Dopler donjih ekstremiteta
2006	RTG kraniograma (Towne i Altchul)
2007	RTG sinusa
2008	RTG sinusa sa profilima
2009	RTG maksilarnih sinusa
2010	RTG orbita (očnih duplji)
2011	RTG optičkog kanala - Rhese projekcija
2012	RTG mastoida (Shuller)
2013	RTG temporalnih kostiju - piramide (Mayer, Stenvers)
2014	Rendgen Sela Turcikea
2015	RTG kostiju lica
2016	RTG kostiju lica sa profilima
2017	RTG nosa - profili
2018	RTG nosa sa profilima
2019	RTG maxillae, mandibule i temporomandibularnog zgloba
2020	Rendgen cervikalnog (vratnog) dela vrata
2021	Rendgen torakalnog dela kicme
2022	Rendgen lumbalnog dela kicme i sakruma
2023	RTG cijele kičme
2024	Rendgen ramena
2025	Rendgen nadlaktice
2026	Rendgen obe nadlaktice
2027	Rendgen lakta
2028	RTG oba lakta
2029	Rendgen podlatkice
2030	Rendgen obe podlaktice
2031	Rendgen ┼бake
2032	Rendgen obe ┼бake
2033	Rendgen rucnog zgloba
2034	Rendgen oba rucna zgloba
2035	RTG pluća i srca
2036	RTG pluća sa profilom
2037	Rendgen abdomena тАУ nativni snimak
2038	RTG urotrakta
2039	Rendgen karlice
2040	Rendgen kuka
2041	RTG natkoljenice
2042	RTG obje natkoljenice
2043	Rendgen koljena
2044	Rendgen oba kolena
2045	Rendgen potkoljenice
2046	Rendgen obe potkolenice
2047	Rendgen skocnog zgloba
2048	RTG oba skočna zgloba
2049	Rendgen stopala
2050	RTG oba stopala
2051	RTG pete
2052	RTG obje pete
2053	Hirurška intervencija
2054	Skidanje konaca
2055	Kontrolni pregled specijaliste porodične medicine
2056	Pregled specijaliste porodične medicine sa ultrazvukom
