page	letter	letter_title	code	section_code	section_title	name_sr_lat	price_eur
2	D	OPERACIJE SA ANESTEZIJOM	D01033	D01	OPERACIJE - GINEKOLOGIJA I AKUŠERSTVO	LAPAROSKOPSKA EKSPLORACIJA MALE KARLICE	250.20
2	D	OPERACIJE SA ANESTEZIJOM	D01034	D01	OPERACIJE - GINEKOLOGIJA I AKUŠERSTVO	STERILISATIO ABDOMINALIS	291.90
2	D	OPERACIJE SA ANESTEZIJOM	D01035	D01	OPERACIJE - GINEKOLOGIJA I AKUŠERSTVO	TOTALNA JEDNOSTRANA SALPINGEKTOMIJA-LAPAROSKOPSKA	291.90
2	D	OPERACIJE SA ANESTEZIJOM	D01036	D01	OPERACIJE - GINEKOLOGIJA I AKUŠERSTVO	HISTEROSKOPSKA RESEKCIJA UTERUSNOG SEPTUMA	291.90
2	D	OPERACIJE SA ANESTEZIJOM	D01037	D01	OPERACIJE - GINEKOLOGIJA I AKUŠERSTVO	HISTEROSKOPSKA MIOMEKTOMIJA	291.90
2	D	OPERACIJE SA ANESTEZIJOM	D01038	D01	OPERACIJE - GINEKOLOGIJA I AKUŠERSTVO	OVARIJALNI DRILING	291.90
2	D	OPERACIJE SA ANESTEZIJOM	D01040	D01	OPERACIJE - GINEKOLOGIJA I AKUŠERSTVO	LAPAROSKOPSKA RESEKCIJA OVARIJUMA	375.30
2	D	OPERACIJE SA ANESTEZIJOM	D01041	D01	OPERACIJE - GINEKOLOGIJA I AKUŠERSTVO	LAPAROSKOPSKA CISTEKTOMIJA OVARIJUMA JEDNOSTRANA	375.30
2	D	OPERACIJE SA ANESTEZIJOM	D01042	D01	OPERACIJE - GINEKOLOGIJA I AKUŠERSTVO	OSLOBAĐANJE ADHEZIJA JAJNIKA I TUBE	417.00
2	D	OPERACIJE SA ANESTEZIJOM	D01043	D01	OPERACIJE - GINEKOLOGIJA I AKUŠERSTVO	LAPAROSKOPSKA CISTEKTOMIJA OVARIJUMA OBOSTRANA	417.00
2	D	OPERACIJE SA ANESTEZIJOM	D01044	D01	OPERACIJE - GINEKOLOGIJA I AKUŠERSTVO	TOTALNA OBOSTRANA SALPINGEKTOMIJA-LAPAROSKOPSKA	417.00
2	D	OPERACIJE SA ANESTEZIJOM	D01045	D01	OPERACIJE - GINEKOLOGIJA I AKUŠERSTVO	SUPRAPUBIČNA SUSPENZIJA URETRE (MARSHAL MARCHETTI METODA)	500.40
2	D	OPERACIJE SA ANESTEZIJOM	D01046	D01	OPERACIJE - GINEKOLOGIJA I AKUŠERSTVO	ENDOSKOP(LAPAROSKOPSKA)KOREKTIV OPER TUBA,SALPINGEKTOM KORNU	500.40
2	D	OPERACIJE SA ANESTEZIJOM	D01048	D01	OPERACIJE - GINEKOLOGIJA I AKUŠERSTVO	LAPAROSKOPSKA MIOMEKTOMIJA	834.00
2	D	OPERACIJE SA ANESTEZIJOM	D01050	D01	OPERACIJE - GINEKOLOGIJA I AKUŠERSTVO	TOTALNA VAGINALNA HISTEREKTOMIJA	1000.80
2	D	OPERACIJE SA ANESTEZIJOM	D01051	D01	OPERACIJE - GINEKOLOGIJA I AKUŠERSTVO	SERKLAŽ (CERCLAGE)	83.40
2	D	OPERACIJE SA ANESTEZIJOM	D01052	D01	OPERACIJE - GINEKOLOGIJA I AKUŠERSTVO	SECTIO CAESAREA PARVA	417.00
2	D	OPERACIJE SA ANESTEZIJOM	D01053	D01	OPERACIJE - GINEKOLOGIJA I AKUŠERSTVO	NISKI, ISTMIČNI CARSKI REZ (SA VOĐENJEM POROĐAJA)	834.00
2	D	OPERACIJE SA ANESTEZIJOM	D01054	D01	OPERACIJE - GINEKOLOGIJA I AKUŠERSTVO	AMPUTACIJA CERVIKSA	216.84
2	D	OPERACIJE SA ANESTEZIJOM	D01055	D01	OPERACIJE - GINEKOLOGIJA I AKUŠERSTVO	TRACHELECTOMIA	250.20
2	D	OPERACIJE SA ANESTEZIJOM	D01056	D01	OPERACIJE - GINEKOLOGIJA I AKUŠERSTVO	VULVECTOMIA SIMPLEX	333.60
2	D	OPERACIJE SA ANESTEZIJOM	D01057	D01	OPERACIJE - GINEKOLOGIJA I AKUŠERSTVO	PLASTIKA TRBUŠNOG ZIDA	375.30
2	D	OPERACIJE SA ANESTEZIJOM	D01058	D01	OPERACIJE - GINEKOLOGIJA I AKUŠERSTVO	MARSUPIJALIZACIJA CISTE	667.20
2	D	OPERACIJE SA ANESTEZIJOM	D01059	D01	OPERACIJE - GINEKOLOGIJA I AKUŠERSTVO	HISTEREPEKSIJA SA SKRAĆIVANJEM OBLIH VEZA(LIG.ROTUNDA)	667.20
